sku_id,origin,date,actual,prediction,method
SKU-1003,2026-05-13,2026-05-22,181.0,61.0,seasonal7
SKU-1003,2026-05-13,2026-05-23,167.0,201.0,seasonal7
SKU-1003,2026-05-13,2026-05-24,50.0,214.0,seasonal7
SKU-1003,2026-05-13,2026-05-25,258.0,178.0,seasonal7
SKU-1003,2026-05-13,2026-05-26,221.0,205.0,seasonal7
SKU-1003,2026-05-13,2026-05-27,241.0,122.0,seasonal7
SKU-1003,2026-05-13,2026-05-14,208.0,203.71864742974068,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-15,223.0,171.92884494926295,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-16,165.0,191.1085920992191,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-17,135.0,189.5191019751952,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-18,222.0,213.382024888295,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-19,175.0,223.04540234684927,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-20,276.0,207.24081304547542,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-21,189.0,203.71864742974068,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-22,181.0,171.92884494926295,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-23,167.0,191.1085920992191,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-24,50.0,189.5191019751952,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-25,258.0,213.382024888295,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-26,221.0,223.04540234684927,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-27,241.0,207.24081304547542,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-14,215.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-15,175.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-16,125.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-17,158.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-18,136.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-19,242.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-20,236.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-21,227.0,165.88888888888889,mean28
